OBJECTID_1,Join_Count,TARGET_FID,Id,X,Y,OBJECTID,Id_1,gridcode,Shape_Leng,AreaM2
1,1,0,0,-59.209790860699997,-62.285557755500001,1,1,0,80.000000002799993,152.000000023000013
2,1,1,0,-59.209815222899998,-62.285566334599999,1,1,0,80.000000002799993,152.000000023000013
3,1,2,0,-59.209862461699998,-62.285562598500000,1,1,0,80.000000002799993,152.000000023000013
4,1,3,0,-59.209878207999999,-62.285563152000002,1,1,0,80.000000002799993,152.000000023000013
5,1,4,0,-59.209861273300000,-62.285556371799998,1,1,0,80.000000002799993,152.000000023000013
6,1,5,0,-59.209853845799998,-62.285548484600000,1,1,0,80.000000002799993,152.000000023000013
7,1,6,0,-59.209885338399999,-62.285551805499999,1,1,0,80.000000002799993,152.000000023000013
8,1,7,0,-59.209888903600003,-62.285539767099998,1,1,0,80.000000002799993,152.000000023000013
9,1,8,0,-59.209902867300002,-62.285532433400000,1,1,0,80.000000002799993,152.000000023000013
10,1,9,0,-59.209827701099996,-62.285516243799997,1,1,0,80.000000002799993,152.000000023000013
11,1,10,0,-59.209847012499999,-62.285514583400001,1,1,0,80.000000002799993,152.000000023000013
12,1,11,0,-59.209856218900001,-62.285498432700003,1,1,0,80.000000002799993,152.000000023000013
13,1,12,0,-59.209848379199997,-62.285488596999997,1,1,0,80.000000002799993,152.000000023000013
14,1,13,0,-59.209858005199997,-62.285484943999997,1,1,0,80.000000002799993,152.000000023000013
15,1,14,0,-59.209908512200002,-62.285513227300001,1,1,0,80.000000002799993,152.000000023000013
16,1,15,0,-59.209957711900003,-62.285507249600002,1,1,0,80.000000002799993,152.000000023000013
17,1,16,0,-59.209855271899997,-62.285477084500002,1,1,0,80.000000002799993,152.000000023000013
18,1,17,0,-59.209871196500004,-62.285478080700003,1,1,0,80.000000002799993,152.000000023000013
19,1,18,0,-59.209882129699999,-62.285470996100003,1,1,0,80.000000002799993,152.000000023000013
20,1,19,0,-59.209930378700001,-62.285460313700000,1,1,0,80.000000002799993,152.000000023000013
21,1,20,0,-59.209957474200003,-62.285456439299999,1,1,0,80.000000002799993,152.000000023000013
22,1,21,0,-59.209958662600002,-62.285472601199999,1,1,0,80.000000002799993,152.000000023000013
23,1,22,0,-59.209975062500000,-62.285472933299999,1,1,0,80.000000002799993,152.000000023000013
24,1,23,0,-59.209981242200001,-62.285463745300000,1,1,0,80.000000002799993,152.000000023000013
25,1,24,0,-59.209982192900000,-62.285480571400001,1,1,0,80.000000002799993,152.000000023000013
26,1,25,0,-59.209990749399999,-62.285478136099997,1,1,0,80.000000002799993,152.000000023000013
27,1,26,0,-59.209984807399998,-62.285496733300000,1,1,0,80.000000002799993,152.000000023000013
28,1,27,0,-59.209955097399998,-62.285493080300000,1,1,0,80.000000002799993,152.000000023000013
29,1,28,0,-59.210005485499998,-62.285465433500001,1,1,0,80.000000002799993,152.000000023000013
30,1,29,0,-59.210025212900000,-62.285463330200002,1,1,0,80.000000002799993,152.000000023000013
31,1,30,0,-59.210036146199997,-62.285456909700002,1,1,0,80.000000002799993,152.000000023000013
32,1,31,0,-59.210029491199997,-62.285450599900003,1,1,0,80.000000002799993,152.000000023000013
33,1,32,0,-59.210056824299997,-62.285461669800000,1,1,0,80.000000002799993,152.000000023000013
34,1,33,0,-59.210060151800000,-62.285448939500000,1,1,0,80.000000002799993,152.000000023000013
